State,Time (s),Time (ms),Pressure (Pa),Temperature ©,Temperature (C/100),Accel,Accel X,Accel Y,Accel Z,Batt Sense,Cut Sense 1,Cut Sense 2,Current Sense,Photoresistor
0,13.477,13477,102528,31.90375,3190.375,0.992896665,0.161133,0.808594,-0.553223,580,580,582,445,96
0,13.561,13561,102526,31.90141357,3190.141357,0.993407388,0.162598,0.808594,-0.553711,581,580,580,445,93
0,13.644,13644,102531,31.90238525,3190.238525,0.995692692,0.165039,0.80957,-0.555664,581,580,583,446,95
0,13.727,13727,102528,31.90193115,3190.193115,0.99417984,0.160645,0.808594,-0.555664,580,580,582,443,94
0,13.811,13811,102529,31.89751953,3189.751953,0.995996607,0.163574,0.80957,-0.556641,580,581,584,444,95
0,13.894,13894,102528,31.8981665,3189.81665,0.99759614,0.162109,0.8125,-0.555664,578,580,581,444,93
0,13.977,13977,102526,31.89583008,3189.583008,0.996051961,0.161621,0.811035,-0.555176,580,580,582,445,94
0,14.061,14061,102528,31.89284668,3189.284668,0.997643714,0.164062,0.8125,-0.555176,580,581,581,446,93
0,14.144,14144,102530,31.89174316,3189.174316,0.994985281,0.161621,0.810059,-0.554688,580,579,582,443,95
0,14.227,14227,102530,31.88934082,3188.934082,0.996256837,0.162109,0.811523,-0.554688,579,581,582,444,93
0,14.311,14311,102532,31.88804199,3188.804199,0.995336778,0.162109,0.810059,-0.555176,580,580,581,442,95
0,14.394,14394,102529,31.88694092,3188.694092,0.992745381,0.157715,0.809082,-0.553223,580,581,582,444,94
0,14.478,14478,102528,31.88466797,3188.466797,0.992832434,0.164062,0.808594,-0.552246,581,579,581,444,95
0,14.561,14561,102529,31.88369385,3188.369385,0.992929449,0.162109,0.808105,-0.553711,579,580,580,444,94
0,14.644,14644,102533,31.88239746,3188.239746,0.997404006,0.162598,0.8125,-0.555176,579,582,582,444,94
0,14.727,14727,102528,31.88096924,3188.096924,0.995189579,0.162109,0.810547,-0.554199,579,581,582,443,95
0,14.811,14811,102528,31.87876221,3187.876221,0.99256171,0.15918,0.80957,-0.551758,580,579,581,444,95
0,14.894,14894,102530,31.8773999,3187.73999,0.992853176,0.164062,0.807617,-0.553711,581,581,581,445,95
0,14.977,14977,102530,31.87324707,3187.324707,0.993204238,0.159668,0.808594,-0.554199,582,581,581,446,91
0,15.06,15060,102532,31.87370117,3187.370117,0.99381835,0.163574,0.80957,-0.552734,579,581,581,445,93
0,15.143,15143,102532,31.87233643,3187.233643,0.993759444,0.163086,0.808594,-0.554199,581,580,582,447,95
0,15.226,15226,102531,31.87013184,3187.013184,0.994523092,0.159668,0.810547,-0.553711,579,578,581,443,93
0,15.309,15309,102531,31.86883301,3186.883301,0.994343269,0.163574,0.810547,-0.552246,581,579,581,444,96
0,15.392,15392,102533,31.86519775,3186.519775,0.993920081,0.164062,0.808594,-0.554199,579,582,582,445,94
0,15.475,15475,102530,31.86500244,3186.500244,0.994973973,0.163086,0.809082,-0.555664,579,580,580,443,93
0,15.558,15558,102530,31.86214844,3186.214844,0.995396012,0.160645,0.809082,-0.557129,579,581,583,441,94
0,15.641,15641,102529,31.86266602,3186.266602,0.99555517,0.163574,0.811035,-0.553711,580,582,582,443,93
0,15.725,15725,102530,31.8587085,3185.87085,0.989524633,0.161621,0.804688,-0.552734,579,581,582,445,93
0,15.808,15808,102530,31.85708496,3185.708496,0.991617524,0.161621,0.808594,-0.550781,581,580,581,444,94
0,15.891,15891,102530,31.85734619,3185.734619,0.995170228,0.162109,0.811523,-0.552734,580,579,581,444,93
0,15.974,15974,102523,31.85455566,3185.455566,0.998200045,0.162598,0.813477,-0.555176,580,580,582,444,94
0,16.057,16057,102532,31.85306152,3185.306152,0.993648061,0.164062,0.808594,-0.553711,581,579,582,444,93
0,16.14,16140,102527,31.85234863,3185.234863,0.997769991,0.161621,0.813477,-0.554688,579,581,583,446,94
0,16.223,16223,102530,31.85189453,3185.189453,0.99393523,0.165039,0.809082,-0.553223,580,581,581,444,94
0,16.306,16306,102530,31.84748047,3184.748047,0.99427171,0.159668,0.80957,-0.554688,582,582,583,444,95
0,16.389,16389,102530,31.84741455,3184.741455,0.994487793,0.161133,0.810547,-0.553223,579,582,582,444,93
0,16.472,16472,102530,31.84650635,3184.650635,0.994633887,0.163574,0.80957,-0.554199,581,580,582,445,93
0,16.555,16555,102531,31.84339111,3184.339111,0.995826267,0.161133,0.811523,-0.554199,580,579,581,445,93
0,16.638,16638,102531,31.84196533,3184.196533,0.994042657,0.161621,0.80957,-0.553711,579,581,581,446,93
0,16.721,16721,102529,31.83878418,3183.878418,0.996359756,0.160156,0.811035,-0.556152,580,581,582,445,93
0,16.804,16804,102525,31.83768066,3183.768066,0.992942785,0.160645,0.809082,-0.552734,580,579,582,443,93
0,16.887,16887,102531,31.83592773,3183.592773,0.994838509,0.161621,0.810547,-0.553711,580,580,580,445,94
0,16.97,16970,102528,31.83553955,3183.553955,0.993808588,0.166016,0.810059,-0.55127,580,580,581,445,93
0,17.053,17053,102534,31.83411133,3183.411133,0.996928785,0.164551,0.811523,-0.555176,581,580,581,444,94
0,17.137,17137,102533,31.82905029,3182.905029,0.990025636,0.161621,0.806641,-0.550781,581,582,582,444,92
0,17.22,17220,102527,31.8304126,3183.04126,0.996215188,0.165039,0.810547,-0.555176,580,581,581,445,94
0,17.303,17303,102531,31.82638916,3182.638916,0.995125727,0.160156,0.811523,-0.553223,581,581,580,445,93
0,17.386,17386,102529,31.82684326,3182.684326,0.994408525,0.163086,0.810059,-0.553223,580,581,581,445,92
0,17.47,17470,102529,31.82366211,3182.366211,0.993913782,0.160156,0.811035,-0.551758,581,580,581,443,93
0,17.553,17553,102530,31.82405273,3182.405273,0.994281902,0.163086,0.80957,-0.553711,581,579,581,445,93
0,17.637,17637,102535,31.81937988,3181.937988,0.993069167,0.163086,0.809082,-0.552246,582,582,581,445,92
0,17.72,17720,102529,31.81911865,3181.911865,0.996484824,0.160156,0.811523,-0.555664,579,578,581,446,94
0,17.803,17803,102529,31.81827637,3181.827637,0.994134086,0.161133,0.808105,-0.556152,580,581,582,444,94
0,17.886,17886,102530,31.81373291,3181.373291,0.993082591,0.164551,0.807129,-0.554688,580,580,583,443,93
0,17.969,17969,102529,31.81243408,3181.243408,0.995236148,0.161621,0.811035,-0.553711,579,581,581,444,93
0,18.052,18052,102531,31.81217529,3181.217529,0.991126744,0.162598,0.807129,-0.551758,582,580,582,445,92
0,18.135,18135,102529,31.80983887,3180.983887,0.992464949,0.162598,0.808105,-0.552734,579,580,581,443,94
0,18.218,18218,102532,31.80970947,3180.970947,0.992305353,0.161621,0.808105,-0.552734,580,582,581,445,93
0,18.301,18301,102532,31.80717773,3180.717773,0.995409919,0.163574,0.811523,-0.552734,579,581,583,444,93
0,18.385,18385,102528,31.80523193,3180.523193,0.993486975,0.160645,0.809082,-0.553711,582,579,581,444,93
0,18.468,18468,102532,31.80321777,3180.321777,0.993705467,0.162109,0.810059,-0.552246,579,582,582,444,94
0,18.552,18552,102529,31.80133789,3180.133789,0.993340885,0.161133,0.807129,-0.556152,578,579,581,444,92
0,18.636,18636,102531,31.79984375,3179.984375,0.991693591,0.160156,0.806641,-0.554199,580,580,582,442,93
0,18.72,18720,102530,31.79886963,3179.886963,0.993599575,0.162109,0.808594,-0.554199,580,580,583,446,92
0,18.803,18803,102532,31.7950415,3179.50415,0.994646397,0.162109,0.810547,-0.553223,581,580,582,445,93
0,18.886,18886,102535,31.79380859,3179.380859,0.996693208,0.165527,0.811035,-0.555176,579,579,580,447,93
0,18.969,18969,102533,31.79088867,3179.088867,0.997302485,0.160156,0.811523,-0.557129,581,579,582,444,92
0,19.052,19052,102532,31.79114746,3179.114746,0.991285001,0.161133,0.807617,-0.551758,582,582,581,444,92
0,19.135,19135,102530,31.79257568,3179.257568,0.993533702,0.160156,0.80957,-0.553223,581,580,582,448,92
0,19.219,19219,102532,31.78712402,3178.712402,0.996115451,0.159668,0.8125,-0.553711,580,581,580,445,93
0,19.302,19302,102527,31.78491699,3178.491699,0.994358277,0.157715,0.810059,-0.554688,581,581,582,447,91
0,19.385,19385,102528,31.78270996,3178.270996,0.994985281,0.161621,0.810059,-0.554688,579,580,581,443,93
0,19.468,19468,102533,31.78290527,3178.290527,0.995280982,0.161621,0.809082,-0.556641,579,582,582,445,92
0,19.551,19551,102534,31.78128174,3178.128174,0.994374498,0.162109,0.810547,-0.552734,580,579,582,444,93
0,19.634,19634,102528,31.78095703,3178.095703,0.995700955,0.161133,0.811035,-0.554688,580,580,581,445,91
0,19.717,19717,102533,31.77563721,3177.563721,0.995203749,0.163086,0.811035,-0.553223,582,580,580,446,92
0,19.802,19802,102531,31.77310547,3177.310547,0.99401111,0.160645,0.810059,-0.553223,581,581,581,442,93
0,19.886,19886,102531,31.77141846,3177.141846,0.992682158,0.159668,0.807617,-0.554688,580,579,582,445,92
0,19.969,19969,102530,31.77141846,3177.141846,0.995862554,0.159668,0.811523,-0.554688,581,580,580,445,92
0,20.052,20052,102532,31.7688208,3176.88208,0.99458108,0.162598,0.811035,-0.552246,582,582,583,444,94
0,20.135,20135,102536,31.76999023,3176.999023,0.995609056,0.162109,0.810059,-0.555664,580,581,581,447,94
0,20.219,20219,102527,31.7653833,3176.53833,0.995521661,0.162598,0.811523,-0.553223,580,580,581,445,91
0,20.303,20303,102530,31.76505859,3176.505859,0.997833523,0.164551,0.813965,-0.553223,579,581,580,445,92
0,20.386,20386,102528,31.76369385,3176.369385,0.992487715,0.162598,0.807129,-0.554199,580,580,581,443,92
0,20.47,20470,102533,31.76194336,3176.194336,0.995633868,0.161621,0.811523,-0.553711,581,580,584,444,91
0,20.553,20553,102530,31.76006104,3176.006104,0.990981001,0.160156,0.808105,-0.550781,580,581,581,444,92
0,20.636,20636,102529,31.7579834,3175.79834,0.998301311,0.160645,0.812988,-0.556641,580,579,582,444,93
0,20.72,20720,102531,31.75584229,3175.584229,0.995496683,0.160645,0.810547,-0.555176,581,581,581,445,92
0,20.803,20803,102529,31.75389404,3175.389404,0.992882323,0.158691,0.810059,-0.551758,579,581,581,445,91
0,20.886,20886,102527,31.75240234,3175.240234,0.998248786,0.164551,0.813477,-0.554688,582,581,582,444,93
0,20.969,20969,102530,31.75454346,3175.454346,0.996006149,0.162109,0.810547,-0.555664,581,579,580,446,92
0,21.052,21052,102530,31.74844238,3174.844238,0.996098489,0.161133,0.811523,-0.554688,580,581,582,444,92
0,21.135,21135,102531,31.74818359,3174.818359,0.989718298,0.161133,0.804688,-0.553223,579,580,581,444,92
0,21.218,21218,102531,31.7470166,3174.70166,0.996033027,0.164062,0.811523,-0.553711,580,581,582,444,92
0,21.301,21301,102531,31.74584717,3174.584717,0.998312731,0.164062,0.812988,-0.555664,580,580,581,443,92
0,21.384,21384,102532,31.74175781,3174.175781,0.995554767,0.161133,0.811523,-0.553711,580,582,582,446,92
0,21.468,21468,102530,31.74286133,3174.286133,0.992863788,0.160156,0.809082,-0.552734,582,580,582,446,91
0,21.551,21551,102531,31.7391626,3173.91626,0.993243327,0.162598,0.810059,-0.55127,579,580,582,445,94
0,21.634,21634,102531,31.73747559,3173.747559,0.994169311,0.161621,0.810059,-0.553223,579,581,582,446,92
0,21.717,21717,102528,31.73643799,3173.643799,0.996800576,0.162109,0.811523,-0.555664,579,581,580,446,92
0,21.801,21801,102530,31.73098633,3173.098633,0.994295058,0.161621,0.810547,-0.552734,581,582,581,444,92
0,21.885,21885,102529,31.73001221,3173.001221,0.992347704,0.157715,0.808594,-0.553223,579,580,583,444,92
0,21.969,21969,102530,31.7283252,3172.83252,0.991636128,0.161621,0.807617,-0.552246,580,580,581,444,93
0,22.052,22052,102527,31.72735107,3172.735107,0.994963712,0.162109,0.808594,-0.556641,581,581,581,447,92
0,22.135,22135,102529,31.72572754,3172.572754,0.994513547,0.158691,0.810059,-0.554688,580,579,580,445,91
0,22.218,22218,102532,31.7226123,3172.26123,0.995125727,0.160156,0.811523,-0.553223,579,581,582,445,91
0,22.301,22301,102531,31.72365234,3172.365234,0.993601572,0.159668,0.809082,-0.554199,581,582,582,446,90
0,22.384,22384,102530,31.72164062,3172.164062,0.995768917,0.160645,0.810547,-0.555664,581,582,580,446,91
0,22.467,22467,102529,31.71845947,3171.845947,0.99559863,0.161133,0.80957,-0.556641,581,580,582,445,93
0,22.55,22550,102529,31.71631836,3171.631836,0.996941741,0.160645,0.812988,-0.554199,580,579,582,446,91
0,22.633,22633,102529,31.71657715,3171.657715,0.994350193,0.160156,0.80957,-0.554688,579,580,580,443,92
0,22.716,22716,102529,31.71411133,3171.411133,0.991560472,0.158691,0.808105,-0.552246,580,582,583,444,92
0,22.8,22800,102530,31.71008789,3171.008789,0.99282963,0.161621,0.809082,-0.552246,580,581,582,445,92
0,22.883,22883,102532,31.7099585,3170.99585,0.99417984,0.160645,0.808594,-0.555664,580,580,582,445,93
0,22.966,22966,102532,31.70742676,3170.742676,0.991922926,0.160156,0.808594,-0.551758,580,581,582,445,92
0,23.05,23050,102532,31.70632324,3170.632324,0.996238559,0.162109,0.8125,-0.553223,580,580,582,446,91
0,23.134,23134,102532,31.70573975,3170.573975,0.992963765,0.160645,0.808105,-0.554199,580,581,581,446,92
0,23.217,23217,102531,31.70249512,3170.249512,0.995090851,0.161621,0.811523,-0.552734,580,581,583,444,92
0,23.3,23300,102532,31.701521,3170.1521,0.99000131,0.162109,0.805176,-0.552734,582,579,582,447,93
